LCSC Part	First Category	Second Category	MFR.Part	Package	Solder Joint	Manufacturer	Library Type	Description	Datasheet	Price	Stock											
C1002	Bead/Filter/EMI Optimization	Ferrite Beads	GZ1608D601TF	603	2	Sunlord	Basic	200mA 1 450m?? 600??@100MHz ??25% 0603  Ferrite Beads ROHS	https://datasheet.lcsc.com/lcsc/2109180930_Sunlord-GZ1608D601TF_C1002.pdf	20-180:0.004507463	200-580:0.003626866	600-1980:0.003149254	2000-9980:0.002850746	10000-19980:0.002597015	20000-:0.002462687	296589						
C1015	Bead/Filter/EMI Optimization	Ferrite Beads	GZ2012D101TF	805	2	Sunlord	Basic	1 100??@100MHz ??25% 0805  Ferrite Beads ROHS	https://datasheet.lcsc.com/lcsc/2111221630_Sunlord-GZ2012D101TF_C1015.pdf	20-180:0.008955224	200-580:0.007208955	600-1980:0.006253731	2000-9980:0.005671642	10000-19980:0.005164179	20000-:0.004895522	261492						
C1017	Bead/Filter/EMI Optimization	Ferrite Beads	GZ2012D601TF	805	2	Sunlord	Basic	500mA 1 300m?? 600??@100MHz ??25% 0805  Ferrite Beads ROHS	https://datasheet.lcsc.com/lcsc/2109181830_Sunlord-GZ2012D601TF_C1017.pdf	20-180:0.008283582	200-580:0.006507463	600-1980:0.005522388	2000-9980:0.004940299	10000-19980:0.004417910	20000-:0.004149254	356078						
C1523	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402B102K500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 1nF X7R ??10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1809291524_FH--Guangdong-Fenghua-Advanced-Tech-0402B102K500NT_C1523.pdf	20-180:0.000907463	200-580:0.000740299	600-1980:0.000617910	2000-9980:0.000517910	10000-19980:0.000501493	20000-:0.000492537	1008398						
C1525	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL05B104KO5NNNC	402	2	Samsung Electro-Mechanics	Basic	16V 100nF X7R ??10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf	20-180:0.000922388	200-580:0.000695522	600-1980:0.000576119	2000-9980:0.000522388	10000-10020:0.000450746	10040-:0.000450746	9116901						
C1527	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402B151K500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 150pF X7R ??10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810302110_FH--Guangdong-Fenghua-Advanced-Tech-0402B151K500NT_C1527.pdf	200-580:0.000859701	2000-9980:0.000597015	20000-:0.000567164	10000-19980:0.000577612	20-180:0.001058209	600-1980:0.000716418	128346						
C1530	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402B221K500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 220pF X7R ??10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811151132_FH--Guangdong-Fenghua-Advanced-Tech-0402B221K500NT_C1530.pdf	10000-19980:0.000559701	20-180:0.001034328	200-580:0.000805970	2000-9980:0.000631343	20000-:0.000534328	600-1980:0.000686567	201287						
C1531	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402B222K500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 2.2nF X7R ??10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402B222K500NT_C1531.pdf	10000-19980:0.000516418	20-180:0.000941791	600-1980:0.000638806	200-580:0.000767164	2000-9980:0.000534328	20000-:0.000507463	548754						
C1532	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402B223K500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 22nF X7R ??10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402B223K500NT_C1532.pdf	10000-10020:0.001365672	200-580:0.002000000	2000-9980:0.001552239	20-180:0.002582090	600-1980:0.001686567	10040-:0.001365672	78036						
C1537	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402B471K500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 470pF X7R ??10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402B471K500NT_C1537.pdf	20-180:0.000925373	600-1980:0.000623881	200-580:0.000750746	2000-9980:0.000519403	20000-:0.000492537	10000-19980:0.000501493	261761						
