LCSC Part	First Category	Second Category	MFR.Part	Package	Solder Joint	Manufacturer	Library Type	Description	Datasheet	Price	Stock											
C1538	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402B472K500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 4.7nF X7R ??10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811031110_FH--Guangdong-Fenghua-Advanced-Tech-0402B472K500NT_C1538.pdf	20-180:0.000907463	600-1980:0.000617910	10000-19980:0.000501493	200-580:0.000740299	2000-9980:0.000517910	20000-:0.000492537	302055						
C1542	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402B682K500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 6.8nF X7R ??10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402B682K500NT_C1542.pdf	20-180:0.000959701	600-1980:0.000655224	200-580:0.000783582	2000-9980:0.000549254	20000-:0.000522388	10000-19980:0.000531343	189902						
C1546	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG101J500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 100pF C0G ??5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810151218_FH--Guangdong-Fenghua-Advanced-Tech-0402CG101J500NT_C1546.pdf	20-180:0.000876119	600-1980:0.000588060	10000-19980:0.000471642	200-580:0.000708955	2000-9980:0.000488060	20000-:0.000462687	1197538						
C1547	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG120J500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 12pF C0G ??5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402CG120J500NT_C1547.pdf	10000-19980:0.000501493	200-580:0.000743284	2000-9980:0.000517910	20000-:0.000492537	20-180:0.000914925	600-1980:0.000620896	419936						
C1548	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG150J500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 15pF C0G ??5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810111610_FH--Guangdong-Fenghua-Advanced-Tech-0402CG150J500NT_C1548.pdf	20-180:0.000861194	200-580:0.000662687	600-1980:0.000558209	2000-9980:0.000510448	10000-19980:0.000446269	20000-:0.000425373	381075						
C1549	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG180J500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 18pF C0G ??5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141814_FH--Guangdong-Fenghua-Advanced-Tech-0402CG180J500NT_C1549.pdf	10000-19980:0.000471642	200-580:0.000708955	2000-9980:0.000488060	20-180:0.000874627	600-1980:0.000588060	20000-:0.000462687	253385						
C1550	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG1R0C500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 1pF C0G ??0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402CG1R0C500NT_C1550.pdf	20-180:0.001219403	200-580:0.000952239	10000-19980:0.000661194	600-1980:0.000810448	2000-9980:0.000746269	20000-:0.000631343	2069977						
C1552	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG1R5C500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 1.5pF C0G ??0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811151132_FH--Guangdong-Fenghua-Advanced-Tech-0402CG1R5C500NT_C1552.pdf	10000-19980:0.000577612	20-180:0.001055224	600-1980:0.000714925	20000-:0.000567164	200-580:0.000858209	2000-9980:0.000597015	211876						
C1554	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG200J500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 20pF C0G ??5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402CG200J500NT_C1554.pdf	20-180:0.001410448	200-580:0.001100000	600-1980:0.000935821	2000-9980:0.000861194	10000-19980:0.000762687	20000-:0.000729851	2703188						
C1555	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG220J500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 22pF C0G ??5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402CG220J500NT_C1555.pdf	20-180:0.000931343	600-1980:0.000635821	200-580:0.000759701	2000-9980:0.000534328	20000-:0.000507463	10000-19980:0.000516418	740708						
C1557	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG270J500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 27pF C0G ??5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402CG270J500NT_C1557.pdf	20-180:0.000961194	200-580:0.000783582	600-1980:0.000655224	2000-9980:0.000549254	10000-19980:0.000531343	20000-:0.000522388	365657						
C1559	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG2R2C500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 2.2pF C0G ??0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141843_FH--Guangdong-Fenghua-Advanced-Tech-0402CG2R2C500NT_C1559.pdf	20-180:0.001080597	200-580:0.000879104	2000-9980:0.000613433	20000-:0.000582090	600-1980:0.000732836	10000-19980:0.000592537	207773						
C1561	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG2R7C500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 2.7pF C0G ??0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402CG2R7C500NT_C1561.pdf	20-180:0.001058209	600-1980:0.000716418	200-580:0.000859701	2000-9980:0.000597015	20000-:0.000567164	10000-19980:0.000577612	74369						
C1562	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG330J500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 33pF C0G ??5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141731_FH--Guangdong-Fenghua-Advanced-Tech-0402CG330J500NT_C1562.pdf	20-180:0.000967164	200-580:0.000786567	600-1980:0.000656716	2000-9980:0.000549254	10000-19980:0.000531343	20000-:0.000522388	520752						
C1565	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG3R3C500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 3.3pF C0G ??0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402CG3R3C500NT_C1565.pdf	20-180:0.001080597	200-580:0.000879104	600-1980:0.000732836	2000-9980:0.000613433	10000-19980:0.000592537	20000-:0.000582090	30350						
C1567	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG470J500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 47pF C0G ??5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811151132_FH--Guangdong-Fenghua-Advanced-Tech-0402CG470J500NT_C1567.pdf	200-580:0.000614925	2000-9980:0.000468657	10000-10020:0.000407463	20-180:0.000807463	600-1980:0.000514925	10040-:0.000407463	257316						
C1569	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG4R7C500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 4.7pF C0G ??0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402CG4R7C500NT_C1569.pdf	20-180:0.001098507	200-580:0.000897015	600-1980:0.000749254	2000-9980:0.000628358	10000-19980:0.000607463	20000-:0.000597015	202798						
C1570	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG300J500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 30pF C0G ??5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402CG300J500NT_C1570.pdf	10000-10020:0.000422388	200-580:0.000655224	2000-9980:0.000491045	10040-:0.000422388	20-180:0.000870149	600-1980:0.000543284	74178						
C1576	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0402CG6R8C500NT	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 6.8pF C0G ??0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402CG6R8C500NT_C1576.pdf	10000-19980:0.000577612	20-180:0.001053731	600-1980:0.000714925	200-580:0.000858209	2000-9980:0.000597015	20000-:0.000567164	126511						
C1585	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	C1585	402	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 33nF Y5V ??20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811141711_FH--Guangdong-Fenghua-Advanced-Tech-C1585_C1585.pdf	20-180:0.002313433	200-580:0.001820896	600-1980:0.001567164	2000-9980:0.001453731	10000-10020:0.001298507	10040-:0.001298507	101067						
C1588	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10B102KB8NNNC	603	2	Samsung Electro-Mechanics	Basic	50V 1nF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811071810_Samsung-Electro-Mechanics-CL10B102KB8NNNC_C1588.pdf	20-180:0.002522388	200-580:0.001895522	600-1980:0.001567164	2000-9980:0.001422388	10000-10020:0.001225373	10040-:0.001225373	1859545						
C1594	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0603B151K500NT	603	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 150pF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811061810_FH--Guangdong-Fenghua-Advanced-Tech-0603B151K500NT_C1594.pdf	20-180:0.002791045	200-580:0.002179104	600-1980:0.001850746	2000-9980:0.001701493	10000-19980:0.001492537	20000-:0.001428358	110947						
C1595	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0603B152K500NT	603	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 1.5nF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811061810_FH--Guangdong-Fenghua-Advanced-Tech-0603B152K500NT_C1595.pdf	200-580:0.002417910	2000-9980:0.001895522	10000-19980:0.001671642	20-180:0.003119403	600-1980:0.002059701	20000-:0.001597015	3065281						
C1596	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0603B153K500NT	603	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 15nF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811061810_FH--Guangdong-Fenghua-Advanced-Tech-0603B153K500NT_C1596.pdf	10000-19980:0.002522388	20-180:0.004641791	600-1980:0.003134328	20000-:0.002477612	200-580:0.003761194	2000-9980:0.002611940	37128						
C1600	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0603B201K500NT	603	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 200pF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811061810_FH--Guangdong-Fenghua-Advanced-Tech-0603B201K500NT_C1600.pdf	20-180:0.003358209	600-1980:0.002268657	20000-:0.001805970	10000-19980:0.001835821	200-580:0.002731343	2000-9980:0.001895522	57746						
C1603	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10B221KB8NNNC	603	2	Samsung Electro-Mechanics	Basic	50V 220pF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810261515_Samsung-Electro-Mechanics-CL10B221KB8NNNC_C1603.pdf	20-180:0.005164179	200-580:0.004358209	600-1980:0.003910448	2000-9980:0.003641791	10000-19980:0.003402985	20000-:0.003283582	199954						
C1604	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0603B222K500NT	603	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 2.2nF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810301614_FH--Guangdong-Fenghua-Advanced-Tech-0603B222K500NT_C1604.pdf	20-180:0.002776119	600-1980:0.001835821	200-580:0.002164179	2000-9980:0.001686567	20000-:0.001423881	10000-19980:0.001489552	243868						
C1609	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0603B272K500NT	603	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 2.7nF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811151136_FH--Guangdong-Fenghua-Advanced-Tech-0603B272K500NT_C1609.pdf	10000-19980:0.001352239	20-180:0.002462687	200-580:0.002000000	600-1980:0.001671642	2000-9980:0.001398507	20000-:0.001328358	21193						
C1613	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10B332KB8NNNC	603	2	Samsung Electro-Mechanics	Basic	50V 3.3nF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810261513_Samsung-Electro-Mechanics-CL10B332KB8NNNC_C1613.pdf	20-180:0.007880597	200-580:0.006656716	600-1980:0.005970149	2000-9980:0.005567164	10000-19980:0.005208955	20000-:0.005014925	386916						
C1615	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0603B334K250NT	603	2	FH (Guangdong Fenghua Advanced Tech)	Basic	25V 330nF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811061811_FH--Guangdong-Fenghua-Advanced-Tech-0603B334K250NT_C1615.pdf	200-580:0.008880597	2000-9980:0.006970149	20-180:0.011044776	600-1980:0.007686567	20000-:0.006014925	10000-19980:0.006343284	46851						
C1620	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0603B471K500NT	603	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 470pF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810302011_FH--Guangdong-Fenghua-Advanced-Tech-0603B471K500NT_C1620.pdf	200-580:0.002134328	2000-9980:0.001507463	10000-19980:0.001456716	20-180:0.002611940	600-1980:0.001791045	20000-:0.001432836	211410						
C1622	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10B473KB8NNNC	603	2	Samsung Electro-Mechanics	Basic	50V 47nF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810261614_Samsung-Electro-Mechanics-CL10B473KB8NNNC_C1622.pdf	200-580:0.003000000	2000-9980:0.002089552	20000-:0.001985075	20-180:0.003671642	600-1980:0.002492537	10000-19980:0.002014925	612029						
C1623	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10B474KA8NNNC	603	2	Samsung Electro-Mechanics	Basic	25V 470nF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810261513_Samsung-Electro-Mechanics-CL10B474KA8NNNC_C1623.pdf	20-180:0.005955224	200-580:0.004791045	600-1980:0.004149254	2000-9980:0.003746269	10000-19980:0.003417910	20000-:0.003238806	414241						
C1630	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0603B681K500NT	603	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 680pF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811061822_FH--Guangdong-Fenghua-Advanced-Tech-0603B681K500NT_C1630.pdf	10000-19980:0.001473134	200-580:0.002194030	2000-9980:0.001522388	20-180:0.002701493	600-1980:0.001820896	20000-:0.001447761	53413						
C1631	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0603B682K500NT	603	2	FH (Guangdong Fenghua Advanced Tech)	Basic	50V 6.8nF X7R ??10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811061811_FH--Guangdong-Fenghua-Advanced-Tech-0603B682K500NT_C1631.pdf	600-1980:0.001835821	20-180:0.002761194	200-580:0.002149254	2000-9980:0.001686567	20000-:0.001425373	10000-19980:0.001491045	67318						
C1634	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10C100JB8NNNC	603	2	Samsung Electro-Mechanics	Basic	50V 10pF C0G ??5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810261513_Samsung-Electro-Mechanics-CL10C100JB8NNNC_C1634.pdf	20-180:0.005000000	200-580:0.004059701	600-1980:0.003537313	2000-9980:0.003238806	10000-19980:0.002955224	20000-:0.002820896	403729						
C1644	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10C150JB8NNNC	603	2	Samsung Electro-Mechanics	Basic	50V 15pF C0G ??5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810261515_Samsung-Electro-Mechanics-CL10C150JB8NNNC_C1644.pdf	20-180:0.005059701	200-580:0.004194030	600-1980:0.003567164	2000-9980:0.003044776	10000-19980:0.002955224	20000-:0.002910448	427299						
C1647	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10C180JB8NNNC	603	2	Samsung Electro-Mechanics	Basic	50V 18pF C0G ??5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810261621_Samsung-Electro-Mechanics-CL10C180JB8NNNC_C1647.pdf	20-180:0.006671642	200-580:0.005522388	600-1980:0.004880597	2000-9980:0.004492537	10000-19980:0.004164179	20000-:0.003985075	308315						
C1648	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10C200JB8NNNC	603	2	Samsung Electro-Mechanics	Basic	50V 20pF C0G ??5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810261514_Samsung-Electro-Mechanics-CL10C200JB8NNNC_C1648.pdf	20-180:0.006388060	200-580:0.005388060	600-1980:0.004835821	2000-9980:0.004507463	10000-19980:0.004223881	20000-:0.004059701	783350						
C1653	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10C220JB8NNNC	603	2	Samsung Electro-Mechanics	Basic	50V 22pF C0G ??5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810121815_Samsung-Electro-Mechanics-CL10C220JB8NNNC_C1653.pdf	20-180:0.005149254	200-580:0.004343284	600-1980:0.003895522	2000-9980:0.003626866	10000-19980:0.003388060	20000-:0.003268657	992499						
C1658	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	0603CG300J500NT	603	2	FH(Guangdong Fenghua Advanced Tech)	Basic	50V 30pF C0G ??5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810261611_FH-Guangdong-Fenghua-Advanced-Tech-0603CG300J500NT_C1658.pdf	20-180:0.003522388	200-580:0.002850746	600-1980:0.002373134	2000-9980:0.001970149	10000-19980:0.001895522	20000-:0.001865672	137745						
C1663	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10C330JB8NNNC	603	2	Samsung Electro-Mechanics	Basic	50V 33pF C0G ??5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1811151146_Samsung-Electro-Mechanics-CL10C330JB8NNNC_C1663.pdf	20-180:0.005208955	200-580:0.004283582	600-1980:0.003761194	2000-9980:0.003447761	10000-19980:0.003179104	20000-:0.003029851	568892						
C1664	Capacitors	Multilayer Ceramic Capacitors MLCC - SMD/SMT	CL10C331JB8NNNC	603	2	Samsung Electro-Mechanics	Basic	50V 330pF C0G ??5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	https://datasheet.lcsc.com/lcsc/1810261512_Samsung-Electro-Mechanics-CL10C331JB8NNNC_C1664.pdf	20-180:0.005402985	200-580:0.004373134	600-1980:0.003805970	2000-9980:0.003477612	10000-19980:0.003179104	20000-:0.003014925	141915						
